px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
5.50827	-12.5782	-2.62869	-0.716675	-0.955942	5.43839	-12.652	5.45	-12.65	-1.81799	0.908995	0.674582
5.37769	-12.4623	-2.83696	-0.770507	-0.961738	5.27506	-12.4782	5.3	-12.55	-2.72627	1.81753	0.929259
5.21876	-12.3836	-2.88431	-0.779788	-0.91624	5.1307	-12.4684	5.15	-12.45	-2.72625	1.8175	0.981226
5.11681	-12.2915	-2.73383	-0.820478	-0.902677	5.04446	-12.3808	5.05	-12.35	-1.8199	1.81989	0.596008
4.9857	-12.1993	-2.75989	-0.842689	-0.873964	4.92985	-12.2499	4.95	-12.25	-1.81991	1.8199	0.374472
4.8849	-12.085	-2.81999	-0.885505	-0.873156	4.75061	-11.9803	4.85	-12.15	-1.99928	1.99929	0.349823
4.7816	-11.9956	-2.81646	-0.909209	-0.852752	4.75915	-12.0666	4.75	-12.05	-1.99928	1.99928	0.329561
4.68452	-11.8669	-2.87948	-0.956047	-0.853776	4.69113	-11.9084	4.7	-11.9	-0.908236	2.72471	0.114179
4.61087	-11.7355	-2.86023	-1.01205	-0.863773	4.64378	-11.7442	4.65	-11.75	-0.908231	2.7247	0.0726316
4.56223	-11.6377	-2.49467	-1.06272	-0.864276	4.59746	-11.6205	4.6	-11.65	-0.909847	1.81971	2.68179
4.51199	-11.526	-2.46399	-1.11493	-0.870136	4.54975	-11.5706	4.55	-11.55	-0.909843	1.81969	0.192235
4.39615	-11.3271	-3.31456	-1.14484	-0.857343	4.47442	-11.3673	4.5	-11.35	-1.0008	4.0032	15.6482
4.36549	-11.1651	-3.29835	-1.21443	-0.886396	4.44059	-11.1496	4.45	-11.15	-1.0008	4.00321	0.383059
4.36562	-11.0596	-2.64077	-1.28977	-0.917976	4.43713	-11.024	4.45	-11.05	0	1.81614	9.45758
4.36595	-10.9157	-2.61987	-1.36692	-0.947268	4.45136	-10.93	4.45	-10.95	0	1.81612	0.471175
4.34377	-10.7694	-2.66468	-1.42149	-0.949439	4.44745	-10.786	4.45	-10.8	0	2.72555	0.152944
4.36418	-10.6226	-2.65056	-1.50162	-0.979881	4.45788	-10.6457	4.45	-10.65	0	2.72554	0.571189
4.36233	-10.4798	-2.66461	-1.55703	-0.981286	4.46329	-10.5756	4.45	-10.5	0	2.729	0.228297
4.38657	-10.331	-2.6676	-1.62787	-0.999521	4.44057	-10.3382	4.45	-10.35	0	2.72898	0.183917
4.40794	-10.1887	-2.64972	-1.68969	-1.00741	4.51895	-10.2367	4.5	-10.2	0.908962	2.72687	0.16328
4.46448	-10.0382	-2.6712	-1.77227	-1.03648	4.54925	-10.0439	4.55	-10.05	0.908954	2.72685	0.450825
4.49984	-9.89057	-2.74161	-1.82582	-1.02965	4.63224	-9.9707	4.6	-9.9	0.909756	2.72927	0.422932
4.57004	-9.74135	-2.76804	-1.90342	-1.05203	4.63755	-9.74952	4.65	-9.75	0.909752	2.72926	0.286993
4.60502	-9.56885	-2.96474	-1.93048	-1.00748	4.60757	-9.4335	4.7	-9.6	0.90859	2.72578	1.52454
4.68774	-9.4231	-2.9727	-2.00122	-1.02387	4.74589	-9.4609	4.75	-9.45	0.908586	2.72576	0.27519
4.77099	-9.28457	-2.95419	-2.06778	-1.03637	4.89179	-9.39473	4.85	-9.3	1.81967	2.72952	0.329037
4.88239	-9.13622	-3.00921	-2.14378	-1.05636	4.94849	-9.13867	4.95	-9.15	1.81967	2.72951	0.280821
4.96965	-9.01101	-3.00679	-2.19964	-1.06113	4.95209	-8.96272	5	-9.05	0.999884	1.99977	0.0418831
5.05101	-8.9076	-2.95844	-2.24934	-1.05776	5.04121	-8.94979	5.05	-8.95	0.999874	1.99974	0.116396
5.13171	-8.77679	-3.00391	-2.27191	-1.0022	5.20806	-8.88942	5.15	-8.8	1.81805	2.72708	1.47362
5.25152	-8.64734	-3.035	-2.33062	-1.00581	5.26887	-8.63564	5.25	-8.65	1.81803	2.72705	0.0304679
5.35539	-8.53977	-3.03781	-2.376	-0.997566	5.3785	-8.56768	5.35	-8.55	1.99956	1.99957	0.0444167
5.46277	-8.43671	-3.03057	-2.4232	-0.994857	5.44864	-8.42738	5.45	-8.45	1.99954	1.99954	0.0161019
5.5506	-8.32757	-2.97988	-2.43563	-0.926266	5.56465	-8.44845	5.5	-8.35	0.909045	1.81807	1.9573
5.63472	-8.24172	-2.85835	-2.47403	-0.914387	5.53862	-8.24357	5.55	-8.25	0.909045	1.81808	0.596294
5.70908	-8.12547	-2.79841	-2.46476	-0.81899	5.64921	-8.02513	5.7	-8.1	2.72608	2.72608	3.67413
5.84397	-8.01045	-2.86535	-2.50559	-0.81418	5.85094	-7.95601	5.85	-7.95	2.72606	2.72606	0.189915
5.93603	-7.90189	-2.80477	-2.50546	-0.740218	5.93492	-7.84119	5.95	-7.85	1.81801	1.81801	2.20283
6.06842	-7.79261	-2.85487	-2.53904	-0.732563	6.05986	-7.73559	6.05	-7.75	1.81802	1.81801	0.196607
6.15321	-7.68805	-2.74383	-2.52777	-0.646778	6.13741	-7.63243	6.15	-7.65	1.81798	1.81798	3.03287
6.27726	-7.58923	-2.76623	-2.55606	-0.639218	6.25659	-7.54336	6.25	-7.55	1.81798	1.81798	0.141798
6.37138	-7.49345	-2.66803	-2.55212	-0.573328	6.39143	-7.46358	6.35	-7.45	1.82027	1.82027	1.95024
6.48661	-7.40437	-2.66635	-2.57619	-0.565898	6.452	-7.36418	6.45	-7.35	1.82025	1.82025	0.153599
